Service Distribution,n,Num Customers,Avg Waiting Time,Confidence Interval
D,2,3750,9.218130663661107,"(8.475827901940974, 9.96043342538124)"
D,2,5000,9.329792170392148,"(8.697192111940987, 9.962392228843308)"
D,2,6250,9.216565090257882,"(8.629854751805262, 9.803275428710503)"
D,2,7500,9.373582767345717,"(8.796065989643974, 9.951099545047459)"
D,2,8750,9.436962555405323,"(8.876836776955333, 9.997088333855313)"
D,2,10000,9.42966880035526,"(8.886701571113425, 9.972636029597096)"
D,2,11250,9.371512863412377,"(8.862175792644765, 9.88084993417999)"
D,2,12500,9.447791154760473,"(8.934997874824527, 9.96058443469642)"
D,2,13750,9.480875689203208,"(8.986943886201779, 9.974807492204636)"
D,2,15000,9.530199265149013,"(9.037994238650757, 10.02240429164727)"
D,2,16250,9.465932413166401,"(9.000713422453106, 9.931151403879696)"
D,2,17500,9.37618837305514,"(8.94642867862149, 9.805948067488789)"
D,2,18750,9.36690988023747,"(8.969066550290389, 9.764753210184551)"
D,2,20000,9.354562177803478,"(8.985204913691819, 9.723919441915138)"
D,2,21250,9.337551104322822,"(8.992421753422848, 9.682680455222796)"
D,2,22500,9.389451908283384,"(9.057781755889742, 9.721122060677025)"
D,2,23750,9.361052866687693,"(9.047367279940161, 9.674738453435225)"
H2,2,0,0.0,"(0.0, 0.0)"
H2,2,1250,19.278825332915666,"(16.7244653210609, 21.83318534477043)"
H2,2,2500,24.547856861828592,"(21.07183263430691, 28.023881089350272)"
H2,2,3750,26.108747942894574,"(22.838880898722053, 29.378614987067095)"
H2,2,5000,27.269381582233695,"(24.09498842202575, 30.44377474244164)"
H2,2,6250,28.048832500045247,"(24.629258050380898, 31.468406949709596)"
H2,2,7500,29.23613660107641,"(25.645746097831363, 32.82652710432146)"
H2,2,8750,29.64027709773939,"(26.059659720276898, 33.22089447520188)"
H2,2,10000,29.729726648680934,"(26.386451740272147, 33.073001557089725)"
H2,2,11250,30.00415184946878,"(26.780419116375175, 33.22788458256238)"
H2,2,12500,29.937939362653964,"(26.87726902220107, 32.99860970310686)"
H2,2,13750,29.95769212426787,"(27.145471338298172, 32.769912910237565)"
H2,2,15000,30.26285738634566,"(27.61672507719976, 32.90898969549156)"
H2,2,16250,30.629504172509247,"(28.126021155129052, 33.13298718988944)"
H2,2,17500,30.78842086998917,"(28.376791066117, 33.20005067386134)"
H2,2,18750,31.02802996924415,"(28.710406062913616, 33.34565387557468)"
H2,2,20000,31.059124571449697,"(28.777957178555173, 33.340291964344225)"
H2,2,21250,31.562759245847264,"(29.30839962887815, 33.81711886281638)"
H2,2,22500,31.813494653962866,"(29.58087800649266, 34.04611130143307)"
H2,2,23750,32.082336002171296,"(29.866473096171582, 34.29819890817101)"
M,4,0,0.0,"(0.0, 0.0)"
M,4,1250,6.620565853808016,"(5.574723026910258, 7.666408680705775)"
M,4,2500,7.4345695519973365,"(6.185387801314316, 8.683751302680356)"
M,4,3750,7.7739112843708815,"(6.716211866810212, 8.83161070193155)"
M,4,5000,8.012397711845876,"(7.128566150730523, 8.896229272961229)"
M,4,6250,8.431505878174058,"(7.651912830255434, 9.211098926092681)"
M,4,7500,8.48487429157753,"(7.796237422397617, 9.173511160757442)"
M,4,8750,8.493136536127258,"(7.84145131465954, 9.144821757594976)"
M,4,10000,8.560505472738365,"(7.9461442450549615, 9.174866700421768)"
